query,title,image,amazon_link,amazon_price,flipkart_link,flipkart_price,myntra_link,myntra_price
red tshirt,Max Men's Solid Lounge T-Shirt,https://serpapi.com/searches/689b5aeefbe53bbaa70757f7/images/7b08679b9fda48603c2c5033747339e2ce82c776e53aacf05a46dcf33a6efe54.webp,,,http://www.flipkart.com/max-solid-men-round-neck-red-t-shirt/p/itm7f512e2b5317b?pid=TSHGZZTSUZ5X2JJY&lid=LSTTSHGZZTSUZ5X2JJYUA0BDE&marketplace=FLIPKART&cmpid=content_t-shirt_8965229628_gmc,19900.0,http://www.myntra.com/Lounge-Tshirts/max/max-Round-Neck-Short-Sleeves-Cotton-Lounge-Tshirts/22809174/buy,19900
red tshirt,U.S. Polo Assn. Men's Solid Polo Neck T-Shirt,https://serpapi.com/searches/689b5aeefbe53bbaa70757f7/images/7b08679b9fda48603c2c5033747339e211ecd739626fadf6dbb3a6ab2327362e.webp,,,http://www.flipkart.com/u-s-polo-assn-solid-men-neck-red-t-shirt/p/itm43a668446f115?pid=TSHGHYTJHG6PHNZG&lid=LSTTSHGHYTJHG6PHNZGSQLSO5&marketplace=FLIPKART&cmpid=content_t-shirt_8965229628_gmc,149900.0,http://www.myntra.com/Tshirts/U.S.+Polo+Assn./US-Polo-Assn-Pure-Cotton-Slim-Fit-Polo-T-shirt/34032976/buy,74900
red tshirt,VEIRDO Men's Printed Round Neck Oversized T-Shirt,https://serpapi.com/searches/689b5aeefbe53bbaa70757f7/images/7b08679b9fda48603c2c5033747339e21c751e049cb15a57578116132007612c.webp,,,,,http://www.myntra.com/Tshirts/VEIRDO/VEIRDO-Men-Typography-Printed-Round-Neck-Pure-Cotton-Oversized-T-Shirt/30516201/buy,39500
red tshirt,Jockey Solid Men Round Neck T-Shirt,https://serpapi.com/searches/689b5aeefbe53bbaa70757f7/images/7b08679b9fda48603c2c5033747339e21f8127318ae0cf05b6c8efe5605f0cb9.webp,,,http://www.flipkart.com/rapl-bharat-solid-men-round-neck-red-t-shirt/p/itm88a8d9454ed6d?pid=TSHH2GWBN2NHQ5CM&lid=LSTTSHH2GWBN2NHQ5CMMV2HRE&marketplace=FLIPKART&cmpid=content_t-shirt_8965229628_gmc,17400.0,http://www.myntra.com/Tshirts/Jockey/Jockey-Combed-Cotton-Rich-Round-Neck-Half-Sleeve-Tshirt-2714/11444004/buy,57900
